Fugacity,chg,bond_length,eps_eff,sig_eff,loading
1000,0.9,1.6,190,5.3,0.4470528508
2500,0.9,1.3,120,5.15,0.1614082779
5000,0.9,1.3,120,5.15,0.3055630412
7500,0.9,1.3,120,5.15,0.458426983
10000,0.9,1.6,190,5.3,2.4184317412
25000,0.9,1.6,190,5.3,3.2619033225
75000,0.9,1.6,120,4.5,0.589888874
100000,0.9,1.6,190,5.3,4.1043034276
500000,0.9,1.6,190,5.3,4.8207363915
50000,0,1.6,120,5.3,1.5050669414
1000000,0.9,1.6,190,5.3,5.5013435862
7500000,0.9,1.6,190,5.3,5.642146552
10000000,0.9,1.6,190,5.3,5.7218478991
1000,0,1,120,3.5,0.0038737987
2500,0,0,150,4.5,0.0631346762
5000,0,0,150,3,0.0101378135
7500,0,0,150,3,0.0155776159
100000,0,0,50,3,0.0572552938
10000,0,0,150,3,0.0214844721
25000,0,0,150,3,0.0545903401
500000,0,0,50,3,0.2732813856
50000,0,0,150,3,0.106350884
75000,0,0,150,3,0.1609137504
1000000,0,0,50,3,0.5472221412
7500000,0,0,50,3,3.2047304499
10000000,0,0,50,3,3.9831716663
